UUID,Pinyin,Character,New Filename
sapi5-47b924de-9e35c129-ec9e9885-9c8574ee-35631cb0.mp3,dù,度,dù_度.mp3
sapi5-e4d5fbe1-7ff58307-3b899c01-8aff289a-f4d5c65b.mp3,mén,门,mén_门.mp3
sapi5-a5f8dd9f-da21fc8d-d1b954c4-708d37a6-3bc0e51f.mp3,rèn,任,rèn_任.mp3
sapi5-f64afbb8-962756ca-481ddf12-7766cb8f-e2ecd748.mp3,cháng,常,cháng_常.mp3
sapi5-117e908c-93fcb9bc-779f9704-d0b17a39-053aaa3c.mp3,xiān,先,xiān_先.mp3
sapi5-47cae802-58b49c57-5fab9d02-5004e651-10d81a15.mp3,hǎi,海,hǎi_海.mp3
sapi5-a5693c7d-12e558ad-e2dd9c9d-7ad49d0b-aec9c248.mp3,tōng,通,tōng_通.mp3
sapi5-61a7502e-64367f67-d4853b49-da810e25-f5f8509f.mp3,jiào,教,jiào_教.mp3
sapi5-ebcf7941-b1a29e70-495e8574-c3881bcd-d6772b7b.mp3,ér,儿,ér_儿.mp3
sapi5-7d65b9af-308b9fb2-5b9cc8e2-80e07e33-a03eb77e.mp3,yuán,原,yuán_原.mp3
sapi5-599a3989-47a33e1f-9caf48d1-c9042e29-d06362ae.mp3,dōng,东,dōng_东.mp3
sapi5-dad7699b-ab2d1cf2-9836b603-87fae49e-8d9830f4.mp3,shēng,声,shēng_声.mp3
sapi5-da2c3de8-867adc0b-11024a7c-ebca2ae1-363f9e22.mp3,tí,提,tí_提.mp3
sapi5-99551d51-3bb4c588-b524b6cf-18ac2c99-b11a1d75.mp3,lì,立,lì_立.mp3
sapi5-0ba85a83-a70c3277-162c10aa-666db083-0989f7d9.mp3,jí,及,jí_及.mp3
sapi5-d0c43e54-bb0d057f-03612b88-b3ae2e45-cba118b3.mp3,bǐ,比,bǐ_比.mp3
sapi5-47941531-a39bfeff-5a2fca5a-8cc11621-26307885.mp3,yuán,员,yuán_员.mp3
sapi5-988e6b4e-8065d209-bab6cf1a-e784085d-80d775db.mp3,jiě,解,jiě_解.mp3
